member_id,currency_amt,is_admin,last_daily_time
173537982681317376,7000,True,1548824133.9418654
152919778141536257,1512,False,1548622827.6296494
150849994046439424,0,False,1548576221.993002
155464857892683779,756,False,1548652155.058191
82622497383514112,10989,False,1548624139.0702627
122782275644555264,20859,False,1548622683.5815623
156154721189625856,0,False,1548564884.755716
99351485028003840,12283,False,1548703141.409538
125811984187916288,1000000,False,1548649046.3872755
289921158047072257,161002,False,1548824039.315267
143592742277087232,278,False,1548819522.3443136
247211458671280128,0,False,1548818336.296032
538531368536375306,100982,False,-1
